DateTime,Open,High,Low,Close,Volume
2025-03-21 15:15:00+05:30,145.06,145.15,144.5,144.6,829592
2025-03-24 09:15:00+05:30,145.25,147.93,145.21,146.7,2350450
2025-03-24 10:15:00+05:30,146.69,147.1,146.15,146.3,586766
2025-03-24 11:15:00+05:30,146.34,147.5,145.81,147.25,841152
2025-03-24 12:15:00+05:30,147.17,148.24,147.07,147.7,866011
2025-03-24 13:15:00+05:30,147.7,147.87,147.3,147.61,634772
2025-03-24 14:15:00+05:30,147.69,147.93,147.25,147.3,1143259
2025-03-24 15:15:00+05:30,147.35,147.45,146.8,147.1,589123
2025-03-25 09:15:00+05:30,150.15,150.76,147.62,148.45,4471197
2025-03-25 10:15:00+05:30,148.49,149.33,147.81,148.05,1134925
2025-03-25 11:15:00+05:30,148.05,148.74,146.67,148.16,1267112
2025-03-25 12:15:00+05:30,148.16,148.8,147.83,148.5,835444
2025-03-25 13:15:00+05:30,148.5,148.9,147.8,148.83,776344
2025-03-25 14:15:00+05:30,148.83,149.45,147.7,147.82,1200810
2025-03-25 15:15:00+05:30,147.77,147.91,147.1,147.1,583445
2025-03-26 09:15:00+05:30,147.5,150.36,146.96,150.29,2215866
2025-03-26 10:15:00+05:30,150.29,151.67,150.18,150.66,2470387
2025-03-26 11:15:00+05:30,150.66,152.5,150.2,151.18,2184256
2025-03-26 12:15:00+05:30,151.12,151.79,149.79,149.96,1104899
2025-03-26 13:15:00+05:30,149.96,150.15,149.2,149.69,1478635
2025-03-26 14:15:00+05:30,149.67,150.03,148.51,148.79,1382709
2025-03-26 15:15:00+05:30,148.8,148.89,148.0,148.47,652436
2025-03-27 09:15:00+05:30,147.0,149.45,146.36,148.75,2323037
2025-03-27 10:15:00+05:30,148.7,149.09,148.44,148.72,520868
2025-03-27 11:15:00+05:30,148.8,148.85,147.26,147.42,652589
2025-03-27 12:15:00+05:30,147.5,147.6,146.9,147.3,491017
2025-03-27 13:15:00+05:30,147.22,147.74,147.16,147.4,508448
2025-03-27 14:15:00+05:30,147.34,148.45,147.05,148.16,1742022
2025-03-27 15:15:00+05:30,148.21,148.47,146.0,146.85,1256620
2025-03-28 09:15:00+05:30,148.25,151.44,148.25,149.41,2521646
2025-03-28 10:15:00+05:30,149.41,150.0,148.57,148.57,858889
2025-03-28 11:15:00+05:30,148.56,149.49,148.5,148.68,688621
2025-03-28 12:15:00+05:30,148.61,148.68,146.25,146.45,1026982
2025-03-28 13:15:00+05:30,146.41,146.85,145.34,145.64,860082
2025-03-28 14:15:00+05:30,145.7,147.19,145.57,146.32,2064934
2025-03-28 15:15:00+05:30,146.32,146.35,145.9,145.9,1106750
2025-04-01 09:15:00+05:30,146.06,150.67,144.6,149.65,1724957
2025-04-01 10:15:00+05:30,149.65,150.35,148.61,149.0,777311
2025-04-01 11:15:00+05:30,149.0,149.5,147.81,148.91,563776
2025-04-01 12:15:00+05:30,148.9,149.45,148.63,148.9,808708
2025-04-01 13:15:00+05:30,148.99,149.9,148.9,149.46,771845
2025-04-01 14:15:00+05:30,149.55,150.15,149.0,149.42,914434
2025-04-01 15:15:00+05:30,149.38,149.6,149.21,149.55,309627
2025-04-02 09:15:00+05:30,149.26,149.48,146.95,148.63,1085813
2025-04-02 10:15:00+05:30,148.68,151.26,148.46,150.95,1003503
2025-04-02 11:15:00+05:30,150.95,151.89,150.9,151.34,929070
2025-04-02 12:15:00+05:30,151.42,151.47,150.51,150.99,415159
2025-04-02 13:15:00+05:30,150.99,151.5,150.75,150.85,437705
2025-04-02 14:15:00+05:30,150.9,151.75,150.77,151.51,719882
2025-04-02 15:15:00+05:30,151.52,151.72,151.41,151.64,306414
